,Idade,Salario
0,32,5719.0
1,28,5064.0
2,24,4739.0
3,30,5215.0
4,30,5215.56
5,34,5443.0
6,29,4977.42
7,33,5337.08
8,32,5234.0
9,32,5492.0
10,30,5337.0
11,24,4563.86
12,30,5204.0
13,33,5438.0
14,32,5230.0
15,36,6051.0
16,32,5837.0
17,35,5787.0
18,34,5891.0
19,31,5207.0
20,31,5435.0
21,32,5770.0
22,32,5257.0
23,32,5534.0
24,32,5430.18
25,32,5615.0
26,32,5200.0
27,30,5304.0
28,27,5195.0
29,35,6043.66
30,32,5223.0
31,29,5340.0
32,32,5224.0
33,34,5842.0
34,37,6082.0
35,29,5147.0
36,32,5547.0
37,29,5326.0
38,31,5601.0
39,32,5501.0
40,33,5696.0
41,30,5472.0
42,28,5362.0
43,30,5225.36
44,30,5313.0
45,35,5843.74
46,29,5032.0
47,28,5024.0
48,31,5457.0
49,27,4701.0
50,32,5489.0
51,30,5359.0
52,29,5045.0
53,31,5221.0
54,28,4962.0
55,28,5196.0
56,34,5850.0
57,34,5450.0
58,28,4618.0
59,32,5805.52
60,31,5157.0
61,32,5581.0
62,35,5845.0
63,33,5437.0
64,26,4738.0
65,36,6020.0
66,29,5079.0
67,32,5621.0
68,32,5805.0
69,30,5240.0
70,31,5561.0
71,30,5324.0
72,29,5219.0
73,33,5729.0
74,32,5258.68
75,29,5320.42
76,34,5677.0
77,33,5677.0
78,31,5084.0
79,34,5844.72
80,32,5804.0
81,31,5422.34
82,33,5483.0
83,32,5503.0
84,30,5425.0
85,33,5619.0
86,28,4920.0
87,31,5100.0
88,31,5769.0
89,36,6106.0
90,30,5152.84
91,37,6308.0
92,31,5242.0
93,30,4995.06
94,34,5975.0
95,35,5952.0
96,33,5598.0
97,33,5383.0
98,33,5414.0
99,31,5405.68
100,33,5506.62
101,32,5555.0
102,33,5820.0
103,26,4742.0
104,35,6020.0
105,30,5372.0
106,31,5706.0
107,28,4924.5
108,34,5709.0
109,32,5501.0
110,28,4985.26
111,30,5126.0
112,28,4856.0
113,31,5356.0
114,34,5518.0
115,30,5193.0
116,27,5037.0
117,27,5325.0
118,31,5763.0
119,27,4778.0
120,33,5757.0
121,35,5932.0
122,34,5612.46
123,38,6093.0
124,28,5207.0
125,33,5453.7
126,36,5922.0
127,34,5657.0
128,28,4995.06
129,32,5593.0
130,35,5576.2
131,30,5491.0
132,32,5436.0
133,35,5891.0
